"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-06",1983,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1984,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1985,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1986,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",2005,134,134,"DU5","Lower Fraser River_SU_1.3","LFR-summer",134,134,NA,NA
"Chinook","CK-06",2006,209,209,"DU5","Lower Fraser River_SU_1.3","LFR-summer",209,209,NA,NA
"Chinook","CK-06",2007,62,62,"DU5","Lower Fraser River_SU_1.3","LFR-summer",62,62,NA,NA
"Chinook","CK-06",2008,20,20,"DU5","Lower Fraser River_SU_1.3","LFR-summer",20,20,NA,NA
"Chinook","CK-06",2009,38,38,"DU5","Lower Fraser River_SU_1.3","LFR-summer",38,38,NA,NA
"Chinook","CK-06",2010,32,32,"DU5","Lower Fraser River_SU_1.3","LFR-summer",32,32,NA,NA
"Chinook","CK-06",2011,63,63,"DU5","Lower Fraser River_SU_1.3","LFR-summer",63,63,NA,NA
"Chinook","CK-06",2012,103,103,"DU5","Lower Fraser River_SU_1.3","LFR-summer",103,103,NA,NA
"Chinook","CK-06",2013,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",2014,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",2015,94,94,"DU5","Lower Fraser River_SU_1.3","LFR-summer",94,94,NA,NA
"Chinook","CK-06",2016,48,48,"DU5","Lower Fraser River_SU_1.3","LFR-summer",48,48,NA,NA
"Chinook","CK-06",2017,105,105,"DU5","Lower Fraser River_SU_1.3","LFR-summer",105,105,NA,NA
"Chinook","CK-06",2018,20,20,"DU5","Lower Fraser River_SU_1.3","LFR-summer",20,20,NA,NA
"Chinook","CK-06",2019,31,31,"DU5","Lower Fraser River_SU_1.3","LFR-summer",31,31,NA,NA
"Chinook","CK-06",2020,66,66,"DU5","Lower Fraser River_SU_1.3","LFR-summer",66,66,NA,NA
"Chinook","CK-06",2021,60,60,"DU5","Lower Fraser River_SU_1.3","LFR-summer",60,60,NA,NA
"Chinook","CK-06",2022,12,12,"DU5","Lower Fraser River_SU_1.3","LFR-summer",12,12,NA,NA
"Chinook","CK-07",1975,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1976,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1977,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1978,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1979,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1980,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1981,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1982,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1983,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1984,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
"Chinook","CK-07",1985,NA,NA,"DU6","Maria Slough_SU_0.3","Maria",NA,NA,NA,NA
